ProteinName,n_runs,mean_log2LP/HP,stderr_log2LP/HP,p_value,q_value
Q9FQE8,3.0,6.122321547304268,0.23393869536061335,0.0014568739600486083,0.027829822800860757
C6T7T3,3.0,5.133683185580117,0.347487753406228,0.004550390530572573,0.037528113659917
A0A0R0KIG7,3.0,4.36175938623584,0.0674588276334464,0.00023911035366409414,0.024394137980011842
I1JFJ9,3.0,4.214107831338914,0.2550415500006084,0.003642776092867156,0.033999243533426794
I1LIL5,3.0,4.095475172249624,0.1309264956649273,0.0010204256081783921,0.02480485663366488
A0A0R0FFE9,3.0,4.073188893038872,0.2666896939804457,0.00425952933469527,0.03684403586762492
P39657,3.0,3.5294817495892765,0.08505135692504968,0.0005801797028541872,0.024394137980011842
I1LDY8,3.0,3.49872164927622,0.1495149826593503,0.0018212223137495593,0.027829822800860757
I1KNJ4,3.0,3.3653663072945257,0.08321422238496289,0.0006108468806819096,0.024394137980011842
P10743,3.0,3.363979896826219,0.09525377357684639,0.0008008213879395092,0.024394137980011842
A0A0R4J3N6,3.0,3.0105972244883286,0.23811679082328574,0.006197587960883819,0.04280087121069723
A0A0R0I1X8,3.0,2.7920286407806922,0.08515334078156364,0.0009288769946539909,0.024394137980011842
A0A0R0INP8,3.0,2.7883501557184958,0.05540551119429741,0.00039459737749177124,0.024394137980011842
C6ZQJ7,3.0,2.4589114486698507,0.20611985694915522,0.00695353425775477,0.04493052905010774
C6TAT2,3.0,2.3454959959080512,0.12387863081769362,0.002777863154606418,0.03186665680224898
B1ACD3,3.0,2.3369249228779414,0.08948349836329289,0.0014629939125006463,0.027829822800860757
I1LTI8,3.0,2.3190528427485995,0.07184276456312018,0.0009583411349290367,0.024394137980011842
P10742,3.0,2.294153258953214,0.05738185431900017,0.0006250244220283274,0.024394137980011842
I1J8E1,3.0,2.2727534085085974,0.07592590902637003,0.0011141638928393726,0.02599715749958536
I1J8T9,3.0,2.213309578878835,0.09130896802053111,0.0016976007451622772,0.027829822800860757
C6TD56,3.0,2.204275988614594,0.06540217231624254,0.0008791831921214798,0.024394137980011842
A0A368UIN5,3.0,2.147745744064444,0.052417381659817235,0.0005951097951315584,0.024394137980011842
I1KAD3,3.0,2.061596478753459,0.044622515803269855,0.0004681615186778208,0.024394137980011842
P93164,3.0,1.9998148325031095,0.12035886252210941,0.0036026718266442257,0.033999243533426794
E6YBW4,3.0,1.9845723742848438,0.11950358715132355,0.0036063982765949013,0.033999243533426794
C6TGZ7,3.0,1.9460119119490515,0.11034205670150801,0.0031996529401703824,0.03186665680224898
A0A0R0GB30,3.0,1.91270024285269,0.16475742415160607,0.007338294189286056,0.044993920576644426
I1KXE7,3.0,1.8294275785136582,0.1424938187431782,0.0060121697487907095,0.04280087121069723
I1ME54,3.0,1.829406838909718,0.12764812621947177,0.004833377537733585,0.037849789528461714
I1LCU6,3.0,1.814260333893566,0.08086980676552309,0.001980986924173282,0.027829822800860757
I1MBR7,3.0,1.8096502720207377,0.07453770788329837,0.0016922295863341286,0.027829822800860757
I1KHJ4,3.0,1.662833170224691,0.15554257833316992,0.00863667185072806,0.048689962111487045
A1YZE0,3.0,1.6058487325797743,0.13716698100381722,0.007217194599661834,0.044993920576644426
A0A0R0F7N0,3.0,1.5578027303921171,0.0852685439940724,0.002982677817888159,0.03186665680224898
A0A0R0F2Z4,3.0,1.5268041263374705,0.1255154113436437,0.006690398116982272,0.04442903865363399
K7KSG5,3.0,1.5053027774056815,0.02559552367581983,0.0002889961234494469,0.024394137980011842
A0A0R0KL80,3.0,1.4988598777572761,0.06310505238590289,0.001767882240519215,0.027829822800860757
A0A0R0H9T5,3.0,1.4905349125397052,0.014272719816555967,9.167891150127089e-05,0.024394137980011842
I1K5M9,3.0,1.483443335878156,0.09716383707157511,0.004262688244756071,0.03684403586762492
A0A0R0G6T3,3.0,1.4777576228198266,0.09719945378831936,0.004298470851222908,0.03684403586762492
Q9SDZ0,3.0,1.4177462383318842,0.09884987560804905,0.0048261675841983305,0.037849789528461714
G3E7M9,3.0,1.3945456226669208,0.03855275892388467,0.00076339259729038,0.024394137980011842
A0A0R0L0W8,3.0,1.3232141326040183,0.12107082496481678,0.008268113230248026,0.04823066050978015
Q9XHC6,3.0,1.246508864367237,0.07011305642137863,0.003148850109436979,0.03186665680224898
A0A0R0I1V0,3.0,1.2418021371575885,0.0832480180456726,0.004464032477961259,0.03749787281487458
I1LEI5,3.0,1.2303323548050948,0.015754955145817005,0.00016393913717156747,0.024394137980011842
A0A0R0EVU4,3.0,1.2124605573674387,0.06453281502572204,0.0028208845328142706,0.03186665680224898
C6SYB8,3.0,1.1450390259379741,0.05402296167447388,0.0022185492425852884,0.028852080668930878
P38417,3.0,1.1291971535841594,0.010501283325373584,8.647466064214867e-05,0.024394137980011842
C6T172,3.0,1.1181772667789718,0.1071970690882317,0.009065822553772598,0.04977314343247701
A0A0R0G554,3.0,1.007912932671142,0.04768500076343181,0.002230809144631125,0.028852080668930878
I1KK66,3.0,0.9929987123511369,0.07869033458511275,0.006221252896330293,0.04280087121069723
I1LBR6,3.0,0.9792140604264965,0.05564200047136929,0.00321331255498351,0.03186665680224898
K7MFW5,3.0,0.978086935292759,0.04022758833537158,0.0016873019812320032,0.027829822800860757
I1JMX7,3.0,0.9412868457859697,0.06590457482323017,0.00486640151080222,0.037849789528461714
C6TFW8,3.0,0.9137568432290492,0.06817897601165347,0.005521172442499262,0.040682323260520875
C6TBN2,3.0,0.8786697862335576,0.03769881573045116,0.001835721864949172,0.027829822800860757
