ProteinName,n_runs,mean_log2LP/HP,stderr_log2LP/HP,p_value,q_value
A0A0R4J3I5,3.0,0.8777796386126084,0.02997108088248453,0.001163791414370142,0.026421210488403225
A0A0R0I0I4,3.0,0.760775257617533,0.042633274888712866,0.0031256814044843886,0.03186665680224898
A0A0R0FQN0,3.0,0.750582271708217,0.06409359665070018,0.007212967576839349,0.044993920576644426
C6SVD0,3.0,0.7246400772566228,0.036443838670516496,0.0025197626603939587,0.029811276545505992
I1KZJ0,3.0,0.6712494493772043,0.05288409970957947,0.006149809569570863,0.04280087121069723
I1M2J1,3.0,0.6087789272868852,0.03171165007347982,0.0027024346439622348,0.031528404179559405
I1L2Q5,3.0,0.6011485438832976,0.05701849368496333,0.008876771625031334,0.049055843190962636
I1JPW5,3.0,0.5972901470246049,0.022365772887878246,0.0013992163369931717,0.027829822800860757
A0A0R0KA84,3.0,0.5930565880697579,0.05101558446364648,0.007318555832397896,0.044993920576644426
A0A0R0FDT6,3.0,0.5613532400250132,0.02782450089314069,0.002447853281233127,0.029811276545505992
I1LWI5,3.0,0.5228808121770532,0.037322208007365555,0.0050562165649292575,0.03896533866550987
A0A0R0EHQ4,3.0,0.5039042712181692,0.03958454028946443,0.006114453584067895,0.04280087121069723
A0A0R0GF16,3.0,0.47354253564735904,0.01919904515222052,0.0016397289281882823,0.027829822800860757
C6K8D0,3.0,0.463446640444604,0.023066119914044045,0.0024679681931546946,0.029811276545505992
A0A0R0GFW6,3.0,0.3745215028071944,0.009734718826408037,0.000674921812219722,0.024394137980011842
I1J6Z7,3.0,0.3366361813687713,0.02879131558425579,0.007235489850127023,0.044993920576644426
I1J4S3,3.0,0.26701305518142654,0.02086781206972147,0.006052461489942939,0.04280087121069723
P28759,3.0,0.22946663024388647,0.021107987192656878,0.00835573394974479,0.048405631157142234
I1LDX0,3.0,0.2149512410964198,0.019549728088573002,0.008170588688606033,0.04823066050978015
I1MC31,3.0,0.21132339824704452,0.01726899519217803,0.006611730114467162,0.04442903865363399
A0A0R0IU60,3.0,0.15107315931267876,0.009525602308986783,0.003952116543747583,0.034945030492083896
Q2PMS8,3.0,0.11880964455918556,0.010187610594207057,0.007272495633012657,0.044993920576644426
A0A0R0JKU3,3.0,0.0785382051241635,0.005930180305329691,0.005653000956337924,0.0412914852462944
P24099,3.0,-0.21215313842586922,0.005765329536638166,0.0007376809820757717,0.024394137980011842
A0A0R0J818,3.0,-0.2810181611284894,0.015996492230923,0.0032246021764180516,0.03186665680224898
A0A0R4J3Y9,3.0,-0.28556996025885834,0.026924349992472656,0.008772456831351085,0.049055843190962636
I1KWA0,3.0,-0.32594943686330463,0.02684988765214043,0.006717247510727996,0.04442903865363399
A0A0R0F392,3.0,-0.3729123628337834,0.024926158530558924,0.004438114079999788,0.03749787281487458
C6SVK2,3.0,-0.4371803363561016,0.012631506647450705,0.0008337688277308591,0.024394137980011842
K7M592,3.0,-0.4782695245248368,0.013888876457728384,0.0008422477663116289,0.024394137980011842
P02581,3.0,-0.49704787354331925,0.009896167205433116,0.00039616806901753666,0.024394137980011842
A0A0R0GXN6,3.0,-0.5030029958775647,0.03996935787989956,0.006254945532646295,0.04280087121069723
K7LRM8,3.0,-0.5038583265145697,0.03445273021739856,0.004642987899098045,0.037528113659917
A0A0R4J4L1,3.0,-0.5112600162399416,0.015616832779071183,0.0009317404633728023,0.024394137980011842
A0A0R0FQE0,3.0,-0.526446112507004,0.049188267988011,0.00861733800083303,0.048689962111487045
I1K006,3.0,-0.532801969685825,0.017142154645308796,0.00103353569306937,0.02480485663366488
A0A0R0JYS9,3.0,-0.5478349614401928,0.04562831305227563,0.00686560469899523,0.04493052905010774
A0A0R0F859,3.0,-0.6097246851990996,0.026320381949494306,0.0018582535041961233,0.027829822800860757
P54774,3.0,-0.6107657726200121,0.034028825540231435,0.003089783774831809,0.03186665680224898
C6SZW2,3.0,-0.6654500722909656,0.04779611918469,0.005119286148595659,0.03909273058927595
I1KGP0,3.0,-0.6875234889121794,0.018589219255075715,0.000730249555784837,0.024394137980011842
I1K3S4,3.0,-0.6976531321925804,0.029275882805953377,0.0017562875009927517,0.027829822800860757
A0A0R0ENM9,3.0,-0.6981478521460952,0.017394117470241815,0.0006201629811460126,0.024394137980011842
A0A0R0FE22,3.0,-0.7431174452817033,0.06479191434398819,0.007516378516152037,0.04575186922875153
A0A0R0H8T0,3.0,-0.7454507470757695,0.05454338282890974,0.00531099227066728,0.0398324420300046
I1NJ59,3.0,-0.7474976649403615,0.017359507902742793,0.0005388947717374578,0.024394137980011842
C6SWX1,3.0,-0.7511118976280787,0.041312031295323216,0.0030114701697537168,0.03186665680224898
P25698,3.0,-0.7651823570356338,0.03621585190032121,0.002232601480333937,0.028852080668930878
C6SY73,3.0,-0.7860210329238083,0.07440142769794507,0.008841070823054804,0.049055843190962636
C6SZQ3,3.0,-0.8481108704513208,0.05263056935676325,0.0038288733653092377,0.03421546411552936
I1JVU2,3.0,-0.8552282573398232,0.017675358795676974,0.0004268686334926288,0.024394137980011842
C6SWG3,3.0,-0.860166919296884,0.03147248566462496,0.0013360588031274198,0.027829822800860757
A0A0R0EXW6,3.0,-0.8832961519474759,0.03866807237880215,0.0019109358842241255,0.027829822800860757
C6T5U0,3.0,-0.8951783743776148,0.054616856071814955,0.003701838575807905,0.0341708176228422
I1JJU1,3.0,-0.895341534672165,0.061342040020112225,0.004661162106683676,0.037528113659917
C6TFG0,3.0,-0.9218624511755493,0.05683183152453874,0.003779059883870168,0.03421546411552936
K7LP96,3.0,-0.9231508405434329,0.02815532135301948,0.0009289026121973702,0.024394137980011842
A0A0R0IQ92,3.0,-0.9629935457457401,0.04829760975457257,0.002505934196913208,0.029811276545505992
C6SWA7,3.0,-0.9877945965411327,0.04211257436297533,0.001812626057982601,0.027829822800860757
I1L5L1,3.0,-1.0060943883336584,0.058110008306663775,0.0033193866102214516,0.03242191572774441
P50346,3.0,-1.0291424933530542,0.08308076671342998,0.006454010333982266,0.04372071516568632
P07135,3.0,-1.042717728188254,0.05070731762862672,0.002356516650924107,0.029811276545505992
I1L8R1,3.0,-1.0684944019719957,0.08949995194787068,0.0069431988240408445,0.04493052905010774
I1LPI1,3.0,-1.0699226410950295,0.08510213832850995,0.006267270427280666,0.04280087121069723
O22518,3.0,-1.0788348251516753,0.1001733452262859,0.008511807490651162,0.048638899946578065
I1JVA6,3.0,-1.1071074619552392,0.09738193078670146,0.00764843089537005,0.04622073346842332
A0A0R0IK90,3.0,-1.109834292398358,0.04281489076892517,0.0014849273921365978,0.027829822800860757
C6TJH2,3.0,-1.1322012324047137,0.05282927966307713,0.0021701343589579877,0.028852080668930878
A0A0R0GWM0,3.0,-1.1497100557266078,0.05176400563674692,0.0020209752272053647,0.027829822800860757
I1N3U5,3.0,-1.158827212830203,0.06749305327530035,0.003375031301310984,0.032586509116106055
I1L372,3.0,-1.194119594302771,0.0368696457418085,0.0009519667605330289,0.024394137980011842
I1JXS8,3.0,-1.2007970721303594,0.05391495450704051,0.002009871971539921,0.027829822800860757
P18663,3.0,-1.2381446347723373,0.06091808999225928,0.002411994469657482,0.029811276545505992
C6ZS03,3.0,-1.23892991807708,0.05464094435426232,0.001939447570309529,0.027829822800860757
P07816,3.0,-1.2488074831895248,0.05345617228229903,0.0018273135396840215,0.027829822800860757
A0A0R0HYF9,3.0,-1.2508847459057808,0.03825176965405116,0.0009338127826628334,0.024394137980011842
C6SYJ4,3.0,-1.2570955191330786,0.09294790807793307,0.005422493342784312,0.040308800070255064
I1KW78,3.0,-1.2733785417873034,0.0925844260517242,0.005244856518970536,0.03969080608950676
P19976,3.0,-1.2895544116901607,0.11674411229942032,0.008096386873251475,0.04823066050978015
A0A0R0GYC5,3.0,-1.382690681655406,0.07401587839366452,0.0028532373813766883,0.03186665680224898
A0A0R0F0G7,3.0,-1.3980919056144643,0.1191759131975407,0.007187920875083065,0.044993920576644426
I1KIY3,3.0,-1.42561910983489,0.0279876409603325,0.00038518962973346327,0.024394137980011842
I1KFE9,3.0,-1.430497806393842,0.13245727165119064,0.008465161768361736,0.048638899946578065
A0A0R0FW44,3.0,-1.4513901877917768,0.09841969195009433,0.004566807202768656,0.037528113659917
A0A0R0L9T9,3.0,-1.4567300064217086,0.1301432033931676,0.00788720312873105,0.04732321877238631
I1MM97,3.0,-1.467895323900784,0.10089290284584795,0.004691014207489625,0.037528113659917
A0A0R0J7J3,3.0,-1.4765632859284334,0.0640373604398562,0.001875597014066102,0.027829822800860757
Q03773,3.0,-1.5220873007956406,0.02821774894208378,0.0003435118967239587,0.024394137980011842
I1J8M4,3.0,-1.6627866692961806,0.07348704790061832,0.0019475042129409835,0.027829822800860757
C6SZX0,3.0,-1.6915711099603488,0.09325769456222932,0.0030256196373955064,0.03186665680224898
C6SWN5,3.0,-1.7258738720119542,0.09598337692373296,0.0030786814251566917,0.03186665680224898
Q2PMQ0,3.0,-1.7398847796445505,0.15915182695905059,0.008263668297981157,0.04823066050978015
A0A0R4J4J7,3.0,-2.2875980099219078,0.1413490040063528,0.0037961870153262133,0.03421546411552936
Q94IC4,3.0,-3.0871953334978035,0.05281504652281745,0.00029254757665013833,0.024394137980011842
I1KYC4,3.0,-3.4452731129972203,0.1391101816595885,0.0016263351810305582,0.027829822800860757
A0A0R0GB14,3.0,-8.75566167339788,0.2218360577605813,0.0006413105750838821,0.024394137980011842
