ProteinName,n_runs,mean_log2HL,p_value,q_value
P13674,3.0,1.707040076816946,0.00040089019272363517,0.004307155191048043
P08727,8.0,0.44284285775770876,0.0022673035285802794,0.014028940583090479
P09972,6.0,0.40314925982851757,0.005812159212111102,0.028770188099949957
P12814,6.0,0.14271637463507805,0.011868003570671267,0.04650303146800198
P35579,6.0,0.14087245665769965,0.011524938328533508,0.04650303146800198
P07355,2.0,-0.09033732931085947,0.007192217030636336,0.03321951098355156
Q99829,8.0,-0.19625379648667454,0.0072143382439026115,0.03321951098355156
P61978,9.0,-0.21515059665684044,0.00033828786899364836,0.004186312378796398
P11142,13.0,-0.2331508401437041,3.751348660366302e-06,0.00012379450579208797
P49588,6.0,-0.2541318104059906,0.006455523877779389,0.031175456775617533
O75340,7.0,-0.2557823281684656,0.0010558987837149421,0.008362718367022341
Q5T4S7,6.0,-0.270010703660519,0.0007157153410833161,0.006748173215928409
P26599,8.0,-0.2958236201953202,0.00043506618091394367,0.004307155191048043
Q99471,10.0,-0.29817509901751793,2.6166634904632344e-05,0.0005180993711117204
P04632,4.0,-0.32434363339974764,0.001824870078311603,0.01245945777605853
P04908,8.0,-0.3455260767850647,1.0168390743484193e-05,0.00022370459635665224
P52209,3.0,-0.353617781793705,0.008638487714380284,0.03639192696696375
P30153,8.0,-0.354379357546476,1.7937614130568696e-06,7.103295195705204e-05
P29401,6.0,-0.35544172493289566,0.000771148533883518,0.006940336804951663
Q00610,11.0,-0.35581945583706104,6.572185146778068e-07,5.30030928841919e-05
Q92888,3.0,-0.35709885185902146,0.00829629145038861,0.03639192696696375
P19338,9.0,-0.36181201300671373,0.00017109926291491211,0.002419832432653757
P11216,3.0,-0.3744571630436741,0.0012650612967611372,0.009314817022841673
O14980,6.0,-0.37511881861176705,0.0009558767423372165,0.008228851955772559
P43686,6.0,-0.37706846984761216,0.009416490686241513,0.03884302408074624
O00410,6.0,-0.39417751297326536,0.0003291483567013193,0.004186312378796398
Q14974,7.0,-0.39431135030777387,0.0037552112264230574,0.019566626916625404
P48163,8.0,-0.3986733686624054,0.0019514070683729016,0.012463825791543048
P12270,3.0,-0.4062303397246099,0.0017465566720518083,0.012350650752366358
P60953,10.0,-0.41763638380823814,1.3038124047612605e-06,6.45387140356824e-05
P41250,8.0,-0.42645546511383414,1.040283912956622e-07,2.0597621476541114e-05
P07195,3.0,-0.4275378199920013,0.012850058090074888,0.04800587739310996
P78527,5.0,-0.4331913207791782,0.00863587037452959,0.03639192696696375
O00401,5.0,-0.4354499259310932,0.0036643129453578275,0.019566626916625404
P23246,10.0,-0.4414993137662341,8.030771649119985e-07,5.30030928841919e-05
P08397,5.0,-0.4622882569197615,0.0037251981628164334,0.019566626916625404
P05388,3.0,-0.4733521566527656,0.012160269850319868,0.04650303146800198
Q92616,9.0,-0.4777506564479299,4.661919031487683e-06,0.00013186570974779444
P31943,9.0,-0.5154165904609717,7.142030030708071e-05,0.0011784349550668317
Q15006,5.0,-0.528738746621967,0.0010485557308397948,0.008362718367022341
Q9NZT2,7.0,-0.6067556303417364,0.004721823967518967,0.02397233706586552
P31946,7.0,-0.6183384034848504,0.0004215827118800292,0.004307155191048043
P05387,7.0,-0.6259201848154216,3.327219869754638e-05,0.0005988995765558348
O00560,5.0,-0.6734739435911548,0.0032117971524329024,0.018169595319477563
P67809,4.0,-0.7395704602225843,0.0019149883192722537,0.012463825791543048
Q15397,4.0,-0.8581919139082651,0.007502064785135314,0.033759291533108915
Q96C90,4.0,-0.8793304609628521,0.002989992047620004,0.01741230663025767
P23381,8.0,-0.9043838009487726,5.502977420117153e-06,0.00013619869114789952
Q6NXG1,5.0,-0.9280142108181645,9.549154656555236e-05,0.0014544097092291822
O00571,3.0,-0.9364592513580684,0.0012702023212965918,0.009314817022841673
Q5JTH9,3.0,-0.9854414904663393,0.0003675166551357344,0.0042804881009926715
P33316,4.0,-1.1076131081833616,0.0025421093463916054,0.015252656078349632
P42704,5.0,-1.9241883746660484,0.012212917355232843,0.04650303146800198
