ProteinName,Run,H,L,log2HL
O00764,20141108_H1heavyN1light_1,167140940.0,199654430.0,-0.25643992862336457
O00764,20141108_H1heavyN1light_2,413788930.0,532887780.0,-0.3649367004630352
O00764,20141108_H1heavyN1light_3,667746200.0,746101000.0,-0.16007108110646456
O00764,20141108_H1heavyN1light_4,69765710.0,116528904.0,-0.7400978194961787
O00764,20141108_H2heavyN2light_1,263381470.0,283470900.0,-0.10604679194032104
O00764,20141108_H2heavyN2light_2,481801950.0,548283260.0,-0.18648119381087094
O00764,20141108_H2heavyN2light_3,478387000.0,544437100.0,-0.1865871955461933
O00764,20141108_H3heavyN3light_2,381386100.0,381298980.0,0.0003295923725397978
O00764,20141108_H3heavyN3light_3,833782600.0,825350900.0,0.014663650031097845
O14980,20141108_H1heavyN1light_2,87202880.0,102820500.0,-0.2376802448465855
O14980,20141108_H1heavyN1light_3,301404960.0,417167800.0,-0.46892464611082524
O14980,20141108_H1heavyN1light_4,112131576.0,155096380.0,-0.46797241875625095
O14980,20141108_H2heavyN2light_2,27552524.0,36225460.0,-0.39481952400099307
O14980,20141108_H2heavyN2light_3,329407580.0,464767550.0,-0.49663559019795284
O14980,20141108_H3heavyN3light_3,346509280.0,393830400.0,-0.18468048775799475
O15231,20141108_H1heavyN1light_1,25084056.0,32448048.0,-0.3713610461093362
O15355,20141108_H3heavyN3light_2,7643057.0,13972260.0,-0.8703436994326378
O15554,20141108_H1heavyN1light_1,15239822.0,13045718.0,0.22426970409855546
O15554,20141108_H1heavyN1light_2,22656080.0,19915268.0,0.18602337058952997
O15554,20141108_H2heavyN2light_1,19436668.0,15110060.0,0.3632715317465944
O43237,20141108_H1heavyN1light_4,23073050.0,23295478.0,-0.0138412085864901
O43237,20141108_H2heavyN2light_4,11833301.0,15557324.0,-0.3947413432302281
O43237,20141108_H3heavyN3light_4,28208068.0,23873544.0,0.24069510889085852
O43290,20141108_H2heavyN2light_4,20159852.0,25757614.0,-0.35351391117011305
O43390,20141108_H3heavyN3light_1,151357250.0,172984980.0,-0.19268899467732753
O43390,20141108_H3heavyN3light_2,268746300.0,373674720.0,-0.47553807286042565
O43747,20141108_H1heavyN1light_2,84224260.0,116954300.0,-0.47363715260942574
O43747,20141108_H2heavyN2light_2,39942664.0,53088828.0,-0.4104777351733484
O43747,20141108_H3heavyN3light_3,111766344.0,133791800.0,-0.2595038795902323
O43776,20141108_H3heavyN3light_2,142394700.0,183003040.0,-0.3619721648993975
O43809,20141108_H1heavyN1light_1,3032468.2,3978322.5,-0.3916677154086837
O60506,20141108_H1heavyN1light_2,52805760.0,65182188.0,-0.30378247457328533
O60506,20141108_H2heavyN2light_1,198777380.0,275351680.0,-0.47012181698505373
O60506,20141108_H3heavyN3light_1,144927250.0,171780240.0,-0.24523520813960867
O60506,20141108_H3heavyN3light_2,524262530.0,452111520.0,0.21361075886264777
O60664,20141108_H1heavyN1light_2,196696140.0,201383360.0,-0.03397583438734241
O75340,20141108_H1heavyN1light_2,342948070.0,409968350.0,-0.2575223997384299
O75340,20141108_H2heavyN2light_1,177440260.0,229772830.0,-0.3728748288126057
O75340,20141108_H2heavyN2light_2,144424270.0,165850750.0,-0.19957233368774552
O75340,20141108_H2heavyN2light_3,49482456.0,53819250.0,-0.12120517793157193
O75340,20141108_H3heavyN3light_1,77916660.0,94756270.0,-0.28228957350493955
O75340,20141108_H3heavyN3light_2,490865980.0,538301780.0,-0.13308601329665135
O75340,20141108_H3heavyN3light_3,69441740.0,93161190.0,-0.4239259702073151
O75367,20141108_H1heavyN1light_1,214057800.0,253021950.0,-0.2412621396097265
O75367,20141108_H3heavyN3light_1,44614190.0,67872090.0,-0.6053157919643116
O75369,20141108_H1heavyN1light_1,166281420.0,222095620.0,-0.41755396806968603
O75369,20141108_H1heavyN1light_2,23393506.0,20824176.0,0.16784868538745104
O75369,20141108_H2heavyN2light_1,108895380.0,127460080.0,-0.22710272385457683
O75369,20141108_H3heavyN3light_1,160362180.0,173084980.0,-0.11014660062300195
O75643,20141108_H1heavyN1light_1,29689984.0,51111400.0,-0.7836687931017958
O75937,20141108_H1heavyN1light_1,16735070.0,21197002.0,-0.3409856459169048
O95071,20141108_H2heavyN2light_1,4928008.0,22159968.0,-2.1688792948905036
P00558,20141108_H2heavyN2light_5,7954216.5,7011077.0,0.18208375083699807
P04075,20141108_H1heavyN1light_1,9989497000.0,7387985400.0,0.43523102069221314
P04075,20141108_H1heavyN1light_2,1615023400.0,1277667276.0,0.3380428827586425
P04075,20141108_H2heavyN2light_1,9557911000.0,7894525400.0,0.27584279644939425
P04075,20141108_H2heavyN2light_2,181076000.0,255967044.0,-0.4993627311566155
P04075,20141108_H3heavyN3light_1,5861505400.0,3946334010.0,0.5707581689173954
P04075,20141108_H3heavyN3light_2,2672936000.0,2484955600.0,0.10520521989345005
P04083,20141108_H1heavyN1light_1,74139896.0,116513616.0,-0.652176564258096
P04083,20141108_H1heavyN1light_2,70860120.0,83718480.0,-0.24057220950533784
P04350,20141108_H1heavyN1light_5,27082117000.0,30527312000.0,-0.17276004421393765
P04632,20141108_H1heavyN1light_2,771972350.0,970702850.0,-0.3304805528216656
P04632,20141108_H2heavyN2light_2,644145300.0,854582000.0,-0.4078327758624376
P04632,20141108_H3heavyN3light_2,444701540.0,534907000.0,-0.26645068272684747
P04632,20141108_H3heavyN3light_3,1186295400.0,1453039400.0,-0.29261052218803996
P04792,20141108_H1heavyN1light_2,1477107470.0,1814196640.0,-0.29655604126762175
P04792,20141108_H1heavyN1light_5,58270736.0,44705116.0,0.38233159189296256
P04792,20141108_H2heavyN2light_2,14163147.0,13207688.0,0.10076391710538929
P04792,20141108_H2heavyN2light_3,2599851800.0,3298492700.0,-0.34337752475024597
P04792,20141108_H3heavyN3light_2,329171840.0,349028640.0,-0.08450450218380814
P04908,20141108_H1heavyN1light_2,1331473500.0,1697451900.0,-0.3503469787716763
P04908,20141108_H1heavyN1light_3,3638748000.0,4515374000.0,-0.3114033470065743
P04908,20141108_H2heavyN2light_2,696912600.0,923771700.0,-0.4065586108469343
P04908,20141108_H2heavyN2light_3,3959271000.0,5045545500.0,-0.34977543616670026
P04908,20141108_H2heavyN2light_4,1881817300.0,2499601000.0,-0.4095712544535969
P04908,20141108_H3heavyN3light_1,163920370.0,187375970.0,-0.19294080076776576
P04908,20141108_H3heavyN3light_2,292702850.0,405741500.0,-0.47112407853824345
P04908,20141108_H3heavyN3light_3,3182330000.0,3843902000.0,-0.2724881077290262
P05023,20141108_H1heavyN1light_4,666747600.0,870013060.0,-0.3838963310932909
P05026,20141108_H1heavyN1light_2,169108050.0,195391700.0,-0.20842384712660603
P05026,20141108_H2heavyN2light_2,97610480.0,137390750.0,-0.4931769192996862
P05026,20141108_H3heavyN3light_2,134908080.0,130067650.0,0.05271457339270956
P05387,20141108_H1heavyN1light_1,4099013480.0,6317626100.0,-0.6241058212703892
P05387,20141108_H1heavyN1light_2,2532702200.0,3941814800.0,-0.6381825430421924
P05387,20141108_H2heavyN2light_1,3241644850.0,5191717200.0,-0.6794857599915226
P05387,20141108_H2heavyN2light_2,518640030.0,963208800.0,-0.8931150113241767
P05387,20141108_H3heavyN3light_1,2850784110.0,3880862870.0,-0.4450186684455709
P05387,20141108_H3heavyN3light_2,3471621220.0,4769263880.0,-0.4581570607543029
P05387,20141108_H3heavyN3light_3,487269340.0,761105200.0,-0.6433764288797963
P05388,20141108_H1heavyN1light_1,1126367400.0,1680862700.0,-0.5775243995841867
P05388,20141108_H2heavyN2light_1,645132200.0,872117300.0,-0.43492736410308835
P05388,20141108_H3heavyN3light_1,518048030.0,687181200.0,-0.4076047062710217
P05783,20141108_H1heavyN1light_1,11973003.0,15626178.0,-0.38417990716930833
P05783,20141108_H1heavyN1light_4,1801643500.0,2016359700.0,-0.16243945902771165
P05783,20141108_H3heavyN3light_4,3017522700.0,3298001000.0,-0.128227212198447
P05787,20141108_H1heavyN1light_1,924538750.0,861656200.0,0.10162143809281797
P05787,20141108_H1heavyN1light_2,724798600.0,658968000.0,0.13737176018085628
P05787,20141108_H2heavyN2light_1,526320580.0,495138620.0,0.08810932614664481
P05787,20141108_H2heavyN2light_2,148231716.5,144598953.0,0.03579706171666043
P05787,20141108_H3heavyN3light_1,140641820.0,33413334.0,2.0735297973254676
P05787,20141108_H3heavyN3light_2,523072830.0,473964500.0,0.14223282884427071
P06576,20141108_H1heavyN1light_1,24689208.0,26147868.0,-0.08281276196755205
P06576,20141108_H3heavyN3light_1,9713833.0,13690751.0,-0.49508899824869895
P06733,20141108_H1heavyN1light_2,2802507000.0,2660162600.0,0.0752035447130716
P06733,20141108_H2heavyN2light_2,1459593200.0,1610445800.0,-0.14189377245970258
P06733,20141108_H2heavyN2light_5,27145495000.0,25524380000.0,0.08883687400993621
P06733,20141108_H3heavyN3light_2,1229944200.0,1084349400.0,0.18176316694324704
P07195,20141108_H1heavyN1light_1,313824800.0,413159940.0,-0.39674101146580015
P07195,20141108_H2heavyN2light_1,320057900.0,460029540.0,-0.5233935851733075
P07195,20141108_H3heavyN3light_2,115753944.0,148817090.0,-0.36247886333689633
P07237,20141108_H1heavyN1light_1,3243442590.0,3031808320.0,0.09734735797387593
P07237,20141108_H1heavyN1light_2,437304280.0,375881796.0,0.21835842130373534
P07237,20141108_H1heavyN1light_3,24990630.0,26257756.0,-0.07135635668248498
P07237,20141108_H1heavyN1light_4,25006198.0,25267964.0,-0.015023698370933546
P07237,20141108_H2heavyN2light_1,1986424100.0,1857491230.0,0.0968182708124341
P07237,20141108_H2heavyN2light_3,3531469.0,4079013.5,-0.20795184964830443
P07237,20141108_H3heavyN3light_1,1402957020.0,1140319020.0,0.29903331752069984
P07237,20141108_H3heavyN3light_2,715834720.0,541451220.0,0.40279515068972843
P07237,20141108_H3heavyN3light_3,32587718.0,27665608.0,0.23623469902953506
P07237,20141108_H3heavyN3light_4,195549220.0,153203490.0,0.3520826190490659
P07355,20141108_H1heavyN1light_1,67905730.0,72242610.0,-0.08931669917921632
P07355,20141108_H2heavyN2light_2,149594380.0,159373740.0,-0.09135795944250262
P07437,20141108_H1heavyN1light_5,12658758000.0,13870545000.0,-0.13188861171145638
P07437,20141108_H2heavyN2light_5,19103953000.0,21125430000.0,-0.14510951482915838
P07602,20141108_H1heavyN1light_1,294085500.0,396379460.0,-0.4306465520623136
P07602,20141108_H1heavyN1light_2,133283950.0,133609710.0,-0.0035217964331085766
P07602,20141108_H2heavyN2light_1,316760800.0,458613760.0,-0.5338858323356395
P07602,20141108_H3heavyN3light_2,106504350.0,142470400.0,-0.4197498563191386
P07900,20141108_H1heavyN1light_2,39650976.0,49594996.0,-0.3228381859699287
P07996,20141108_H3heavyN3light_1,4135595.8,9750252.0,-1.2373443183869999
P08134,20141108_H3heavyN3light_2,37484850.0,37130604.0,0.013698845478421382
P08397,20141108_H1heavyN1light_3,98544750.0,136582830.0,-0.47092521357771544
P08397,20141108_H1heavyN1light_4,92576050.0,118942500.0,-0.3615533918293001
P08397,20141108_H2heavyN2light_3,30046720.0,49079820.0,-0.7079224477959604
P08397,20141108_H2heavyN2light_4,120099496.0,143383060.0,-0.2556444900609903
P08397,20141108_H3heavyN3light_4,132110960.0,188837580.0,-0.5153957413348412
P08727,20141108_H1heavyN1light_1,332134530.0,158102050.0,1.070911644589237
P08727,20141108_H1heavyN1light_2,2799164300.0,2201189600.0,0.3467127524853953
P08727,20141108_H2heavyN2light_1,656361700.0,561495200.0,0.2252173675557598
P08727,20141108_H2heavyN2light_2,1575700200.0,1267380000.0,0.3141439128304561
P08727,20141108_H2heavyN2light_3,1158644700.0,943597900.0,0.296194116791727
P08727,20141108_H3heavyN3light_1,294123740.0,232125660.0,0.341517222921907
P08727,20141108_H3heavyN3light_2,799568131.0,582508889.0,0.45694090537706117
P08727,20141108_H3heavyN3light_3,1459254700.0,1038230500.0,0.4911049395101265
P08758,20141108_H1heavyN1light_1,8826370.0,9506149.0,-0.1070407885898705
P08758,20141108_H1heavyN1light_2,46704932.0,36816110.0,0.34323770611709464
P08758,20141108_H1heavyN1light_3,15068568.0,9155356.0,0.7188544304122814
P08758,20141108_H2heavyN2light_1,38129504.0,25271822.0,0.5933780834478767
P08758,20141108_H2heavyN2light_2,48835520.0,37051924.0,0.398382399106167
P08758,20141108_H2heavyN2light_3,9666905.0,9995702.0,-0.048253827404575
P08758,20141108_H3heavyN3light_2,39681290.0,29211218.0,0.44193641261368505
P09104,20141108_H2heavyN2light_5,19784948.0,1523786933.34,-6.267114105352743
P09211,20141108_H1heavyN1light_2,40698056.0,59489130.0,-0.5476661959435022
P09211,20141108_H3heavyN3light_2,11727159.0,7362962.0,0.6714953901023326
P09525,20141108_H2heavyN2light_2,85423176.0,86748240.0,-0.02220694992094501
P09874,20141108_H1heavyN1light_1,146216030.0,134423620.0,0.12131482503413236
P09874,20141108_H2heavyN2light_1,120401860.0,124833400.0,-0.052146309020314426
P09972,20141108_H1heavyN1light_1,1459807500.0,1244426100.0,0.23029757951058433
P09972,20141108_H1heavyN1light_2,3038826500.0,2462035500.0,0.3036627432528022
P09972,20141108_H2heavyN2light_1,1414754400.0,1184181500.0,0.2566614039310449
P09972,20141108_H2heavyN2light_2,1311426200.0,1011729340.0,0.3743132340030417
P09972,20141108_H3heavyN3light_1,907763800.0,517460220.0,0.8108689983110539
P09972,20141108_H3heavyN3light_2,2301160700.0,1692634100.0,0.44309159996257846
P0DMV8,20141108_H1heavyN1light_1,294128580.0,209787070.0,0.4875212136867083
P0DPH7,20141108_H1heavyN1light_1,405011100.0,490680100.0,-0.27682131473140387
P0DPH7,20141108_H1heavyN1light_2,39018656.0,46650310.0,-0.2577225830026127
P0DPH7,20141108_H2heavyN2light_1,336775200.0,390739840.0,-0.21442245802850488
P0DPH7,20141108_H2heavyN2light_5,22722685000.0,26411342000.0,-0.21702428955232422
P0DPH7,20141108_H3heavyN3light_1,67711700.0,60832310.0,0.15456735159043225
P10809,20141108_H1heavyN1light_1,6014364383.0,6585480606.0,-0.13087645479312857
P10809,20141108_H1heavyN1light_2,718069352.0,752313651.0,-0.06721108082350462
P10809,20141108_H1heavyN1light_4,574692464.0,681375310.0,-0.2456595404599952
P10809,20141108_H2heavyN2light_1,2217908496.5,2326441162.5,-0.06892485473436025
P10809,20141108_H3heavyN3light_1,1988914800.0,1912810500.0,0.05628752156959242
P10809,20141108_H3heavyN3light_2,383511000.0,378599400.0,0.018595833541234827
P10809,20141108_H3heavyN3light_4,27673948.0,43207410.0,-0.6427502781347558
P11021,20141108_H2heavyN2light_2,56693250.0,71377304.0,-0.33228843468907315
P11021,20141108_H2heavyN2light_3,268911260.0,308670140.0,-0.19893576109235533
P11021,20141108_H3heavyN3light_3,312110620.0,307219970.0,0.022785450226053872
P11142,20141108_H1heavyN1light_1,2111007400.0,2613860900.0,-0.30825073231906214
P11142,20141108_H1heavyN1light_2,3922287400.0,4790499920.0,-0.2884809676623631
P11142,20141108_H1heavyN1light_4,8270374400.0,9440612000.0,-0.19092774550277
P11142,20141108_H1heavyN1light_5,1053400640.0,1268081000.0,-0.2675926609521522
P11142,20141108_H2heavyN2light_1,3321050400.0,4309824500.0,-0.375989505414011
P11142,20141108_H2heavyN2light_2,2431660500.0,3052975000.0,-0.3282739569807377
P11142,20141108_H2heavyN2light_3,1988075540.0,2499423500.0,-0.3302227956789431
P11142,20141108_H2heavyN2light_4,3872001300.0,4439464400.0,-0.19730619587673495
P11142,20141108_H2heavyN2light_5,2205541400.0,2711733200.0,-0.2980824012735118
P11142,20141108_H3heavyN3light_1,1771043700.0,1956315500.0,-0.1435392455504215
P11142,20141108_H3heavyN3light_2,4858327060.0,5199409864.0,-0.09788827112385838
P11142,20141108_H3heavyN3light_3,1846220800.0,2107585800.0,-0.19101626123117268
P11142,20141108_H3heavyN3light_4,8013922300.0,8088648700.0,-0.013390182302415394
P11216,20141108_H1heavyN1light_2,24240792.0,31181262.0,-0.36324248384841185
P11216,20141108_H2heavyN2light_1,43823560.0,57866150.0,-0.40101297449212625
P11216,20141108_H3heavyN3light_2,23314512.0,29904120.0,-0.3591160307904841
P11413,20141108_H1heavyN1light_3,54904948.0,89043280.0,-0.6975705669261604
P11413,20141108_H2heavyN2light_3,40916268.0,70106136.0,-0.7768661589211658
P12004,20141108_H1heavyN1light_1,84003390.0,117936870.0,-0.4894953563198036
P12004,20141108_H2heavyN2light_1,52575244.0,82141400.0,-0.6437258960308451
P12004,20141108_H3heavyN3light_1,76667704.0,95203770.0,-0.31239972884301953
P12270,20141108_H1heavyN1light_3,50066630.0,64824500.0,-0.37268982297213904
P12270,20141108_H1heavyN1light_4,84491704.0,113658070.0,-0.42781852331647713
P12270,20141108_H2heavyN2light_4,124033980.0,165739570.0,-0.4181826728852137
P12814,20141108_H1heavyN1light_1,395094900.0,363605380.0,0.11982567752624806
P12814,20141108_H1heavyN1light_2,228389220.0,217040100.0,0.0735329394736449
P12814,20141108_H2heavyN2light_1,472135330.0,466532640.0,0.01722242438752743
P12814,20141108_H2heavyN2light_2,59442336.0,53101896.0,0.16272743958305366
P12814,20141108_H3heavyN3light_1,349001950.0,294643100.0,0.24426661599775193
P12814,20141108_H3heavyN3light_2,402427400.0,341055230.0,0.23872315084224235
P12956,20141108_H1heavyN1light_3,8319092.0,20239698.0,-1.2826897865745863
P12956,20141108_H2heavyN2light_3,6228255.0,8525630.0,-0.4529784326927826
P12956,20141108_H3heavyN3light_3,27018126.0,44362148.0,-0.7154016104008865
P13667,20141108_H1heavyN1light_1,527740600.0,488001100.0,0.11294457707211981
P13667,20141108_H2heavyN2light_1,174929620.0,139286080.0,0.3287235098296796
P13667,20141108_H3heavyN3light_1,311041020.0,244791570.0,0.3455509789760324
P13674,20141108_H1heavyN1light_1,205511300.0,65889010.0,1.6411079672415572
P13674,20141108_H2heavyN2light_1,144806370.0,43824690.0,1.7243092766200847
P13674,20141108_H3heavyN3light_1,158019680.0,46794188.0,1.7557029865891969
P13861,20141108_H1heavyN1light_3,10506083.0,15569770.0,-0.5675227455640036
P13861,20141108_H2heavyN2light_3,8106982.5,10506602.0,-0.37405922057700014
P13861,20141108_H3heavyN3light_3,38598256.0,44178784.0,-0.19481804663009758
P14618,20141108_H1heavyN1light_1,4868152300.0,5038995000.0,-0.049761721348696934
P14618,20141108_H1heavyN1light_2,617141950.0,675558140.0,-0.13047757177221003
P14618,20141108_H2heavyN2light_1,3580593700.0,3683217200.0,-0.04076765444268382
P14618,20141108_H3heavyN3light_1,3008640000.0,2683710000.0,0.16488270750722867
P14618,20141108_H3heavyN3light_2,912193500.0,785145540.0,0.21637978333707714
P14625,20141108_H1heavyN1light_4,1161220500.0,967725950.0,0.26297149230108263
P14625,20141108_H2heavyN2light_4,586530200.0,493204350.0,0.25001986926693776
P14866,20141108_H1heavyN1light_5,1292764700.0,1539969900.0,-0.2524424427449555
P14866,20141108_H2heavyN2light_5,1814520300.0,2319312100.0,-0.3541087733033365
P15153,20141108_H1heavyN1light_2,20462518.0,28594376.0,-0.48274773693407236
P15153,20141108_H2heavyN2light_2,12494314.0,10818339.0,0.20779268132236847
P15311,20141108_H1heavyN1light_1,576458240.0,668268200.0,-0.2132111247715497
P15311,20141108_H2heavyN2light_1,818254460.0,974927740.0,-0.25274573181700744
P16104,20141108_H1heavyN1light_2,267467650.0,314590720.0,-0.23411170458721525
P16104,20141108_H1heavyN1light_3,758538000.0,834511800.0,-0.13771099337874398
P16104,20141108_H2heavyN2light_2,115832740.0,138988640.0,-0.26292388436681213
P16104,20141108_H2heavyN2light_3,642898600.0,728392450.0,-0.18012475936530734
P16104,20141108_H3heavyN3light_3,917273600.0,915795900.0,0.002326012105620927
P16422,20141108_H2heavyN2light_2,17330584.0,21995272.0,-0.34387317139577345
P16422,20141108_H3heavyN3light_2,26926676.0,29620284.0,-0.1375493279006877
P16989,20141108_H3heavyN3light_4,219225800.0,406417150.0,-0.8905436877068147
P17174,20141108_H1heavyN1light_3,14162398.0,22156608.0,-0.6456714676374689
P17174,20141108_H3heavyN3light_3,18896958.0,18576998.0,0.024636626188644345
P17655,20141108_H1heavyN1light_2,16732512.0,17689970.0,-0.08027755244180232
P17655,20141108_H3heavyN3light_2,18308776.0,19594842.0,-0.09793859443733266
P17655,20141108_H3heavyN3light_3,49661140.0,57299136.0,-0.2063960053035004
P17812,20141108_H1heavyN1light_3,74726216.0,145381620.0,-0.9601585129857444
P17812,20141108_H1heavyN1light_4,44690960.0,71515976.0,-0.6782825270819205
P17812,20141108_H2heavyN2light_4,65458030.0,107967680.0,-0.7219574185786429
P17812,20141108_H3heavyN3light_4,179884400.0,208832380.0,-0.21527534475174073
P17987,20141108_H3heavyN3light_1,39522268.0,43333788.0,-0.13282661565293713
P18085,20141108_H1heavyN1light_1,484909380.0,538008260.0,-0.14991316130139146
P18085,20141108_H1heavyN1light_2,71892860.0,85607120.0,-0.2518822941924419
P18085,20141108_H2heavyN2light_1,309769200.0,342309600.0,-0.14410804726327867
P18085,20141108_H3heavyN3light_1,149582180.0,157218740.0,-0.07183487819639364
P18085,20141108_H3heavyN3light_2,74844160.0,72153330.0,0.05282376980753245
P18206,20141108_H1heavyN1light_1,202644200.0,221198960.0,-0.12639571879794037
P18206,20141108_H1heavyN1light_2,571685300.0,626971500.0,-0.13317867040429193
P18206,20141108_H1heavyN1light_3,228317490.0,261270110.0,-0.1945007061252673
P18206,20141108_H2heavyN2light_1,349612860.0,499565150.0,-0.5149145838313124
P18206,20141108_H2heavyN2light_2,84065410.0,91132640.0,-0.11645555757682872
P18206,20141108_H2heavyN2light_3,90069990.0,96733690.0,-0.10297193167397906
P18206,20141108_H3heavyN3light_1,20169320.0,23844892.0,-0.24151780346457496
P18206,20141108_H3heavyN3light_3,357587600.0,338442300.0,0.07938681524789873
P19338,20141108_H1heavyN1light_1,141008266.0,167723412.0,-0.25030434750046676
P19338,20141108_H1heavyN1light_2,775879340.0,992249940.0,-0.3548712592224795
P19338,20141108_H1heavyN1light_3,652335960.0,956824640.0,-0.5526393828400888
P19338,20141108_H2heavyN2light_1,294908730.0,373746470.0,-0.34179142301993065
P19338,20141108_H2heavyN2light_2,548482400.0,782157020.0,-0.5120129338941083
P19338,20141108_H2heavyN2light_3,679621370.0,1049888100.0,-0.6274324472062474
P19338,20141108_H3heavyN3light_1,87768190.0,100801570.0,-0.19974804844477576
P19338,20141108_H3heavyN3light_2,593247970.0,698660450.0,-0.2359562152719725
P19338,20141108_H3heavyN3light_3,992893060.0,1126043300.0,-0.18155205966035454
P19367,20141108_H1heavyN1light_4,127183656.0,142083490.0,-0.15982563817751874
P19367,20141108_H2heavyN2light_4,102567990.0,118946550.0,-0.21373287080453587
P20810,20141108_H1heavyN1light_5,1129141310.0,1570147150.0,-0.4756737228873819
P21333,20141108_H2heavyN2light_1,68334290.0,99851950.0,-0.5471809007235378
P21333,20141108_H3heavyN3light_1,50112730.0,41228260.0,0.2815435589383845
P22314,20141108_H1heavyN1light_2,388574660.0,297600450.0,0.38481511402322655
P23246,20141108_H1heavyN1light_1,376893570.0,543397000.0,-0.5278494186286111
P23246,20141108_H1heavyN1light_2,41312176.0,55392640.0,-0.4231272466355917
P23246,20141108_H1heavyN1light_3,365942430.0,501763600.0,-0.4553911136721693
P23246,20141108_H1heavyN1light_4,110403780.0,147782050.0,-0.42068147866271915
P23246,20141108_H2heavyN2light_2,5585499.5,8537728.0,-0.6121658972866038
P23246,20141108_H2heavyN2light_3,201465140.0,305347420.0,-0.5999214279979909
P23246,20141108_H2heavyN2light_4,95635030.0,129715970.0,-0.43974504557864863
P23246,20141108_H3heavyN3light_1,166510430.0,216402690.0,-0.37810588404340545
P23246,20141108_H3heavyN3light_3,384157600.0,479950140.0,-0.3211862425382707
P23246,20141108_H3heavyN3light_4,262171420.0,308940670.0,-0.2368193826183307
P23381,20141108_H1heavyN1light_2,11290526.0,18207376.0,-0.6894103202461402
P23381,20141108_H1heavyN1light_3,255416060.0,491742530.0,-0.945053895484913
P23381,20141108_H1heavyN1light_4,84751230.0,166878460.0,-0.9774915380093471
P23381,20141108_H2heavyN2light_2,2124838.8,4720719.0,-1.1516532133688222
P23381,20141108_H2heavyN2light_3,213190070.0,327138490.0,-0.6177612703999951
P23381,20141108_H2heavyN2light_4,55556690.0,128655260.0,-1.2114778890988718
P23381,20141108_H3heavyN3light_3,297838370.0,525921120.0,-0.8203168081031845
P23381,20141108_H3heavyN3light_4,150976080.0,266886340.0,-0.8219054728789063
P23528,20141108_H1heavyN1light_1,314275330.0,304482020.0,0.04567198992722095
P23528,20141108_H1heavyN1light_4,7252017700.0,8464621000.0,-0.22306302720470517
P23528,20141108_H2heavyN2light_1,242336130.0,265374740.0,-0.1310215397938977
P23528,20141108_H2heavyN2light_5,1021588030.0,1197288400.0,-0.2289571809942358
P23528,20141108_H3heavyN3light_1,136791740.0,109754430.0,0.31770194530012014
P23528,20141108_H3heavyN3light_4,6769834500.0,6793153500.0,-0.004960888973387171
P23588,20141108_H1heavyN1light_1,18156794.0,23399852.0,-0.36598992094985494
P23588,20141108_H2heavyN2light_1,27924248.0,49626404.0,-0.8295894892282868
P23588,20141108_H3heavyN3light_1,21972230.0,18946680.0,0.2137362297049109
P23921,20141108_H1heavyN1light_1,14516600.0,26580494.0,-0.8726643248104288
P25205,20141108_H1heavyN1light_1,79941610.0,109880630.0,-0.4589185536262365
P25205,20141108_H2heavyN2light_1,49569388.0,72932850.0,-0.5571193245134226
P25705,20141108_H1heavyN1light_1,278939550.0,342085820.0,-0.2944057990859792
P25705,20141108_H2heavyN2light_1,182761870.0,192433000.0,-0.07439111634706706
