ProteinName,Run,H,L,log2HL
A0A0U1RRL7,20141108_H3heavyN3light_2,123229310.0,191681500.0,-0.6373656622734563
A0A8I5KQE6,20141108_H1heavyN1light_2,99104130.0,128586664.0,-0.37572393971629753
A0A8I5KQE6,20141108_H2heavyN2light_2,42878536.0,69269096.0,-0.6919561972259347
A0A8I5KQE6,20141108_H3heavyN3light_2,27731226.0,41515470.0,-0.5821376317769422
O00401,20141108_H1heavyN1light_2,66350908.0,89006160.0,-0.4237889778250256
O00401,20141108_H2heavyN2light_2,37117870.0,53906012.0,-0.5383322579138005
O00401,20141108_H2heavyN2light_3,32347294.0,50130256.0,-0.6320365723583589
O00401,20141108_H3heavyN3light_2,36651880.0,42583696.0,-0.2164139711736099
O00401,20141108_H3heavyN3light_3,83729230.0,107958820.0,-0.36667785038467127
O00410,20141108_H1heavyN1light_1,413487680.0,580450200.0,-0.489327951226877
O00410,20141108_H1heavyN1light_2,388500100.0,539819100.0,-0.4745610534830864
O00410,20141108_H2heavyN2light_1,687938590.0,962349330.0,-0.48428089709418737
O00410,20141108_H2heavyN2light_2,143010780.0,189054980.0,-0.40268195272467244
O00410,20141108_H3heavyN3light_1,437651460.0,525299930.0,-0.2633590089528826
O00410,20141108_H3heavyN3light_2,541958006.0,644882036.0,-0.250854214357886
O00560,20141108_H1heavyN1light_2,66039620.0,97433336.0,-0.561083643963053
O00560,20141108_H2heavyN2light_2,65932356.0,122481740.0,-0.8935081432376277
O00560,20141108_H2heavyN2light_3,59613370.0,115971930.0,-0.9600678181439019
O00560,20141108_H3heavyN3light_2,55401984.0,74110510.0,-0.4197405116480296
O00560,20141108_H3heavyN3light_3,131300140.0,189978750.0,-0.5329696009631609
O00571,20141108_H1heavyN1light_2,55224790.0,110096856.0,-0.9953853382652552
O00571,20141108_H1heavyN1light_3,91994376.0,169271520.0,-0.8797216886302436
O00571,20141108_H2heavyN2light_3,77198856.0,147521180.0,-0.9342707271787067
O00629,20141108_H2heavyN2light_2,145458980.0,106975980.0,0.4433254693998486
O00629,20141108_H3heavyN3light_2,192235790.0,206967000.0,-0.10652379589481621
